,ds,test
142,24/05/2013,1931.0
143,25/05/2013,140.0
144,26/05/2013,0.0
145,27/05/2013,1794.0
146,28/05/2013,2055.0
147,29/05/2013,1658.0
148,30/05/2013,1497.0
149,31/05/2013,1161.0
150,01/06/2013,113.0
151,02/06/2013,14.0
152,03/06/2013,2374.0
153,04/06/2013,1885.0
154,05/06/2013,1606.0
155,06/06/2013,1690.0
156,07/06/2013,1354.0
157,08/06/2013,1266.0
158,09/06/2013,1309.0
159,10/06/2013,89.0
160,11/06/2013,0.0
161,12/06/2013,0.0
162,13/06/2013,2265.0
163,14/06/2013,1721.0
164,15/06/2013,150.0
165,16/06/2013,26.0
166,17/06/2013,1612.0
167,18/06/2013,2178.0
168,19/06/2013,1539.0
169,20/06/2013,1067.0
170,21/06/2013,1325.0
171,22/06/2013,85.0
172,23/06/2013,36.0
173,24/06/2013,1778.0
174,25/06/2013,2336.0
175,26/06/2013,1487.0
176,27/06/2013,1025.0
177,28/06/2013,1659.0
178,29/06/2013,183.0
179,30/06/2013,0.0
180,01/07/2013,1819.0
181,02/07/2013,1781.0
182,03/07/2013,1924.0
183,04/07/2013,1256.0
184,05/07/2013,1526.0
185,06/07/2013,108.0
186,07/07/2013,14.0
187,08/07/2013,1804.0
188,09/07/2013,1615.0
189,10/07/2013,1558.0
190,11/07/2013,810.0
191,12/07/2013,1603.0
192,13/07/2013,94.0
193,14/07/2013,23.0
194,15/07/2013,2141.0
195,16/07/2013,1759.0
196,17/07/2013,1506.0
197,18/07/2013,1271.0
198,19/07/2013,1633.0
199,20/07/2013,154.0
200,21/07/2013,14.0
201,22/07/2013,2028.0
202,23/07/2013,2033.0
203,24/07/2013,1346.0
204,25/07/2013,1031.0
205,26/07/2013,1290.0
206,27/07/2013,42.0
207,28/07/2013,0.0
208,29/07/2013,1961.0
209,30/07/2013,1751.0
210,31/07/2013,1505.0
211,01/08/2013,1477.0
212,02/08/2013,1892.0
213,03/08/2013,81.0
214,04/08/2013,0.0
215,05/08/2013,2100.0
216,06/08/2013,1905.0
217,07/08/2013,1682.0
218,08/08/2013,1370.0
219,09/08/2013,985.0
220,10/08/2013,27.0
221,11/08/2013,0.0
222,12/08/2013,1804.0
223,13/08/2013,1760.0
224,14/08/2013,1951.0
225,15/08/2013,1058.0
226,16/08/2013,1150.0
227,17/08/2013,363.0
228,18/08/2013,0.0
229,19/08/2013,2765.0
230,20/08/2013,2281.0
231,21/08/2013,1064.0
232,22/08/2013,1438.0
233,23/08/2013,1698.0
234,24/08/2013,122.0
235,25/08/2013,14.0
236,26/08/2013,2106.0
237,27/08/2013,1811.0
238,28/08/2013,1751.0
239,29/08/2013,1433.0
240,30/08/2013,1034.0
241,31/08/2013,73.0
242,01/09/2013,26.0
243,02/09/2013,1775.0
244,03/09/2013,2032.0
245,04/09/2013,1607.0
246,05/09/2013,861.0
247,06/09/2013,1534.0
248,07/09/2013,371.0
249,08/09/2013,0.0
250,09/09/2013,1794.0
251,10/09/2013,1965.0
252,11/09/2013,1408.0
253,12/09/2013,1762.0
254,13/09/2013,1329.0
255,14/09/2013,188.0
256,15/09/2013,0.0
257,16/09/2013,2288.0
258,17/09/2013,1900.0
259,18/09/2013,2101.0
260,19/09/2013,48.0
261,20/09/2013,13.0
262,21/09/2013,0.0
263,22/09/2013,2933.0
264,23/09/2013,2330.0
265,24/09/2013,2483.0
266,25/09/2013,1949.0
267,26/09/2013,1898.0
268,27/09/2013,2025.0
269,28/09/2013,243.0
270,29/09/2013,2876.0
271,30/09/2013,2172.0
272,01/10/2013,0.0
273,02/10/2013,117.0
274,03/10/2013,0.0
275,04/10/2013,17.0
276,05/10/2013,16.0
277,06/10/2013,19.0
278,07/10/2013,0.0
279,08/10/2013,4723.0
280,09/10/2013,2681.0
281,10/10/2013,1876.0
282,11/10/2013,1339.0
283,12/10/2013,1414.0
284,13/10/2013,19.0
285,14/10/2013,2250.0
286,15/10/2013,2669.0
287,16/10/2013,2540.0
288,17/10/2013,997.0
289,18/10/2013,1808.0
290,19/10/2013,171.0
291,20/10/2013,0.0
292,21/10/2013,1909.0
293,22/10/2013,2541.0
294,23/10/2013,1722.0
295,24/10/2013,1606.0
296,25/10/2013,1664.0
297,26/10/2013,192.0
298,27/10/2013,0.0
299,28/10/2013,2436.0
300,29/10/2013,2077.0
301,30/10/2013,1789.0
302,31/10/2013,1321.0
303,01/11/2013,1714.0
304,02/11/2013,129.0
305,03/11/2013,0.0
306,04/11/2013,2059.0
307,05/11/2013,1849.0
308,06/11/2013,1631.0
309,07/11/2013,1197.0
310,08/11/2013,2099.0
311,09/11/2013,206.0
312,10/11/2013,0.0
313,11/11/2013,1712.0
314,12/11/2013,2338.0
315,13/11/2013,2103.0
316,14/11/2013,1130.0
317,15/11/2013,1693.0
318,16/11/2013,170.0
319,17/11/2013,0.0
320,18/11/2013,2057.0
321,19/11/2013,2160.0
322,20/11/2013,1519.0
323,21/11/2013,1357.0
324,22/11/2013,1698.0
325,23/11/2013,192.0
326,24/11/2013,22.0
327,25/11/2013,2118.0
328,26/11/2013,2170.0
329,27/11/2013,1681.0
330,28/11/2013,1454.0
331,29/11/2013,1849.0
332,30/11/2013,778.0
333,01/12/2013,0.0
334,02/12/2013,2290.0
335,03/12/2013,2126.0
336,04/12/2013,2309.0
337,05/12/2013,1288.0
338,06/12/2013,1654.0
339,07/12/2013,377.0
340,08/12/2013,0.0
341,09/12/2013,2026.0
342,10/12/2013,2002.0
343,11/12/2013,2739.0
344,12/12/2013,1726.0
345,13/12/2013,1474.0
346,14/12/2013,255.0
347,15/12/2013,0.0
348,16/12/2013,2156.0
349,17/12/2013,1680.0
350,18/12/2013,1979.0
351,19/12/2013,1207.0
352,20/12/2013,1831.0
353,21/12/2013,278.0
354,22/12/2013,0.0
355,23/12/2013,1587.0
356,24/12/2013,1514.0
357,25/12/2013,1584.0
358,26/12/2013,1365.0
359,27/12/2013,1642.0
360,28/12/2013,205.0
361,29/12/2013,0.0
362,30/12/2013,1660.0
363,31/12/2013,950.0
364,01/01/2014,0.0
365,02/01/2014,4254.0
366,03/01/2014,4569.0
367,04/01/2014,649.0
368,05/01/2014,0.0
369,06/01/2014,5202.0
370,07/01/2014,5090.0
371,08/01/2014,3488.0
372,09/01/2014,2171.0
373,10/01/2014,3075.0
374,11/01/2014,441.0
375,12/01/2014,0.0
376,13/01/2014,2593.0
377,14/01/2014,2796.0
378,15/01/2014,2546.0
379,16/01/2014,2706.0
380,17/01/2014,3006.0
381,18/01/2014,411.0
382,19/01/2014,0.0
383,20/01/2014,3591.0
384,21/01/2014,3528.0
385,22/01/2014,3534.0
386,23/01/2014,2142.0
387,24/01/2014,3887.0
388,25/01/2014,324.0
389,26/01/2014,1659.0
390,27/01/2014,4320.0
391,28/01/2014,3957.0
392,29/01/2014,1598.0
393,30/01/2014,244.0
394,31/01/2014,0.0
395,01/02/2014,0.0
396,02/02/2014,0.0
397,03/02/2014,0.0
398,04/02/2014,0.0
399,05/02/2014,23.0
400,06/02/2014,19.0
401,07/02/2014,4061.0
402,08/02/2014,3332.0
403,09/02/2014,13.0
404,10/02/2014,3710.0
405,11/02/2014,3525.0
406,12/02/2014,2282.0
407,13/02/2014,1576.0
408,14/02/2014,1772.0
409,15/02/2014,272.0
410,16/02/2014,18.0
411,17/02/2014,1835.0
412,18/02/2014,1904.0
413,19/02/2014,2040.0
414,20/02/2014,1532.0
415,21/02/2014,1905.0
416,22/02/2014,250.0
417,23/02/2014,13.0
418,24/02/2014,2387.0
419,25/02/2014,3224.0
420,26/02/2014,2471.0
421,27/02/2014,1566.0
422,28/02/2014,1308.0
423,01/03/2014,305.0
424,02/03/2014,27.0
425,03/03/2014,2206.0
426,04/03/2014,2018.0
427,05/03/2014,1722.0
428,06/03/2014,1437.0
429,07/03/2014,1064.0
430,08/03/2014,390.0
431,09/03/2014,0.0
432,10/03/2014,2065.0
433,11/03/2014,1802.0
434,12/03/2014,1693.0
435,13/03/2014,1392.0
436,14/03/2014,1129.0
437,15/03/2014,239.0
438,16/03/2014,0.0
439,17/03/2014,1932.0
440,18/03/2014,2848.0
441,19/03/2014,1933.0
442,20/03/2014,1124.0
443,21/03/2014,1500.0
444,22/03/2014,222.0
445,23/03/2014,0.0
446,24/03/2014,1582.0
447,25/03/2014,2051.0
448,26/03/2014,2954.0
449,27/03/2014,1534.0
450,28/03/2014,2473.0
451,29/03/2014,139.0
452,30/03/2014,25.0
453,31/03/2014,1739.0
454,01/04/2014,1915.0
455,02/04/2014,1787.0
456,03/04/2014,1668.0
457,04/04/2014,1348.0
458,05/04/2014,25.0
459,06/04/2014,22.0
460,07/04/2014,59.0
461,08/04/2014,3076.0
462,09/04/2014,2469.0
463,10/04/2014,1603.0
464,11/04/2014,1460.0
465,12/04/2014,182.0
466,13/04/2014,0.0
467,14/04/2014,1901.0
468,15/04/2014,1870.0
469,16/04/2014,1682.0
470,17/04/2014,2176.0
471,18/04/2014,1885.0
472,19/04/2014,357.0
473,20/04/2014,22.0
474,21/04/2014,2070.0
475,22/04/2014,2607.0
476,23/04/2014,1803.0
477,24/04/2014,1100.0
478,25/04/2014,2248.0
479,26/04/2014,230.0
480,27/04/2014,0.0
481,28/04/2014,1901.0
482,29/04/2014,2174.0
483,30/04/2014,1863.0
484,01/05/2014,0.0
485,02/05/2014,12.0
486,03/05/2014,72.0
487,04/05/2014,2590.0
488,05/05/2014,1621.0
489,06/05/2014,2257.0
490,07/05/2014,2025.0
491,08/05/2014,2284.0
492,09/05/2014,1628.0
493,10/05/2014,191.0
494,11/05/2014,0.0
495,12/05/2014,1599.0
496,13/05/2014,1857.0
497,14/05/2014,1755.0
498,15/05/2014,1230.0
499,16/05/2014,1686.0
500,17/05/2014,263.0
501,18/05/2014,18.0
502,19/05/2014,1812.0
503,20/05/2014,1841.0
504,21/05/2014,1090.0
505,22/05/2014,1253.0
506,23/05/2014,1545.0
507,24/05/2014,123.0
508,25/05/2014,0.0
509,26/05/2014,1862.0
510,27/05/2014,1769.0
511,28/05/2014,1302.0
512,29/05/2014,1201.0
513,30/05/2014,2338.0
514,31/05/2014,153.0
515,01/06/2014,47.0
516,02/06/2014,0.0
517,03/06/2014,2908.0
518,04/06/2014,1661.0
519,05/06/2014,1081.0
520,06/06/2014,1774.0
521,07/06/2014,124.0
522,08/06/2014,13.0
523,09/06/2014,1919.0
524,10/06/2014,1288.0
525,11/06/2014,1073.0
526,12/06/2014,1025.0
527,13/06/2014,1383.0
528,14/06/2014,212.0
529,15/06/2014,0.0
530,16/06/2014,1489.0
531,17/06/2014,1713.0
532,18/06/2014,1952.0
533,19/06/2014,1227.0
534,20/06/2014,1370.0
535,21/06/2014,133.0
536,22/06/2014,0.0
537,23/06/2014,1616.0
538,24/06/2014,2016.0
539,25/06/2014,2483.0
540,26/06/2014,1467.0
541,27/06/2014,2049.0
542,28/06/2014,291.0
543,29/06/2014,0.0
544,30/06/2014,1184.0
545,01/07/2014,2822.0
546,02/07/2014,2027.0
547,03/07/2014,1542.0
548,04/07/2014,1754.0
549,05/07/2014,107.0
550,06/07/2014,0.0
551,07/07/2014,1983.0
552,08/07/2014,2209.0
553,09/07/2014,1731.0
554,10/07/2014,1266.0
555,11/07/2014,1494.0
556,12/07/2014,152.0
557,13/07/2014,0.0
558,14/07/2014,2065.0
559,15/07/2014,2072.0
560,16/07/2014,1792.0
561,17/07/2014,1512.0
562,18/07/2014,1853.0
563,19/07/2014,248.0
564,20/07/2014,0.0
565,21/07/2014,1740.0
566,22/07/2014,1739.0
567,23/07/2014,1495.0
568,24/07/2014,1656.0
569,25/07/2014,1244.0
570,26/07/2014,41.0
571,27/07/2014,0.0
572,28/07/2014,1755.0
573,29/07/2014,1749.0
574,30/07/2014,1313.0
575,31/07/2014,1175.0
576,01/08/2014,1391.0
577,02/08/2014,248.0
578,03/08/2014,0.0
579,04/08/2014,2022.0
580,05/08/2014,2787.0
581,06/08/2014,1658.0
582,07/08/2014,1023.0
583,08/08/2014,1545.0
584,09/08/2014,207.0
585,10/08/2014,0.0
586,11/08/2014,2076.0
587,12/08/2014,1416.0
588,13/08/2014,1421.0
589,14/08/2014,1130.0
590,15/08/2014,1377.0
591,16/08/2014,248.0
592,17/08/2014,0.0
593,18/08/2014,1867.0
594,19/08/2014,1941.0
595,20/08/2014,1707.0
596,21/08/2014,1510.0
597,22/08/2014,1065.0
598,23/08/2014,305.0
599,24/08/2014,13.0
600,25/08/2014,1824.0
601,26/08/2014,2049.0
602,27/08/2014,1371.0
603,28/08/2014,1299.0
604,29/08/2014,1752.0
605,30/08/2014,212.0
606,31/08/2014,0.0
607,01/09/2014,2764.0
608,02/09/2014,2466.0
609,03/09/2014,2079.0
610,04/09/2014,1471.0
611,05/09/2014,2344.0
612,06/09/2014,218.0
613,07/09/2014,0.0
614,08/09/2014,0.0
615,09/09/2014,4044.0
616,10/09/2014,2265.0
617,11/09/2014,1602.0
618,12/09/2014,2033.0
619,13/09/2014,317.0
620,14/09/2014,0.0
621,15/09/2014,2209.0
622,16/09/2014,2231.0
623,17/09/2014,1190.0
624,18/09/2014,1413.0
625,19/09/2014,2097.0
626,20/09/2014,205.0
627,21/09/2014,0.0
628,22/09/2014,2156.0
629,23/09/2014,2219.0
630,24/09/2014,1801.0
631,25/09/2014,1657.0
632,26/09/2014,2965.0
633,27/09/2014,382.0
634,28/09/2014,1268.0
635,29/09/2014,2915.0
636,30/09/2014,3137.0
637,01/10/2014,132.0
638,02/10/2014,0.0
639,03/10/2014,0.0
640,04/10/2014,0.0
641,05/10/2014,0.0
642,06/10/2014,52.0
643,07/10/2014,15.0
644,08/10/2014,4783.0
645,09/10/2014,2396.0
646,10/10/2014,2454.0
647,11/10/2014,1964.0
648,12/10/2014,35.0
649,13/10/2014,3096.0
650,14/10/2014,2441.0
651,15/10/2014,2282.0
652,16/10/2014,1467.0
653,17/10/2014,1432.0
654,18/10/2014,193.0
655,19/10/2014,0.0
656,20/10/2014,1792.0
657,21/10/2014,2085.0
658,22/10/2014,1967.0
659,23/10/2014,1312.0
660,24/10/2014,1381.0
661,25/10/2014,218.0
662,26/10/2014,0.0
663,27/10/2014,1993.0
664,28/10/2014,2389.0
665,29/10/2014,2061.0
666,30/10/2014,2394.0
667,31/10/2014,1579.0
668,01/11/2014,15.0
669,02/11/2014,0.0
670,03/11/2014,2136.0
671,04/11/2014,1946.0
672,05/11/2014,1762.0
673,06/11/2014,1342.0
674,07/11/2014,1718.0
675,08/11/2014,256.0
676,09/11/2014,0.0
677,10/11/2014,2041.0
678,11/11/2014,1692.0
679,12/11/2014,1867.0
680,13/11/2014,1085.0
681,14/11/2014,1932.0
682,15/11/2014,245.0
683,16/11/2014,22.0
684,17/11/2014,2175.0
685,18/11/2014,2356.0
686,19/11/2014,1869.0
687,20/11/2014,1468.0
688,21/11/2014,1756.0
689,22/11/2014,246.0
690,23/11/2014,0.0
691,24/11/2014,1863.0
692,25/11/2014,2242.0
693,26/11/2014,1585.0
694,27/11/2014,1243.0
695,28/11/2014,1409.0
696,29/11/2014,344.0
697,30/11/2014,0.0
698,01/12/2014,2294.0
699,02/12/2014,1778.0
700,03/12/2014,1755.0
701,04/12/2014,1641.0
702,05/12/2014,1459.0
703,06/12/2014,261.0
704,07/12/2014,0.0
705,08/12/2014,2024.0
706,09/12/2014,2490.0
707,10/12/2014,1504.0
708,11/12/2014,1695.0
709,12/12/2014,1706.0
710,13/12/2014,138.0
711,14/12/2014,0.0
712,15/12/2014,2113.0
713,16/12/2014,2036.0
714,17/12/2014,1729.0
715,18/12/2014,1332.0
716,19/12/2014,1977.0
717,20/12/2014,186.0
718,21/12/2014,0.0
719,22/12/2014,1593.0
720,23/12/2014,3091.0
721,24/12/2014,1960.0
722,25/12/2014,769.0
723,26/12/2014,1844.0
724,27/12/2014,140.0
725,28/12/2014,25.0
726,29/12/2014,2167.0
727,30/12/2014,1292.0
728,31/12/2014,1278.0
729,01/01/2015,75.0
730,02/01/2015,0.0
731,03/01/2015,0.0
732,04/01/2015,7063.0
733,05/01/2015,5804.0
734,06/01/2015,7226.0
735,07/01/2015,3616.0
736,08/01/2015,5742.0
737,09/01/2015,4501.0
738,10/01/2015,796.0
739,11/01/2015,0.0
740,12/01/2015,4259.0
741,13/01/2015,3472.0
742,14/01/2015,2482.0
743,15/01/2015,2722.0
744,16/01/2015,2869.0
745,17/01/2015,448.0
746,18/01/2015,24.0
747,19/01/2015,3425.0
748,20/01/2015,2794.0
749,21/01/2015,2954.0
750,22/01/2015,2501.0
751,23/01/2015,2883.0
752,24/01/2015,699.0
753,25/01/2015,24.0
754,26/01/2015,2692.0
755,27/01/2015,3526.0
756,28/01/2015,3877.0
757,29/01/2015,2546.0
758,30/01/2015,2709.0
759,31/01/2015,471.0
760,01/02/2015,0.0
761,02/02/2015,3469.0
762,03/02/2015,3498.0
763,04/02/2015,3835.0
764,05/02/2015,2530.0
765,06/02/2015,2564.0
766,07/02/2015,367.0
767,08/02/2015,0.0
768,09/02/2015,4217.0
769,10/02/2015,4630.0
770,11/02/2015,3877.0
771,12/02/2015,4141.0
772,13/02/2015,3701.0
773,14/02/2015,652.0
774,15/02/2015,2663.0
775,16/02/2015,4903.0
776,17/02/2015,2040.0
777,18/02/2015,0.0
778,19/02/2015,0.0
779,20/02/2015,0.0
780,21/02/2015,0.0
781,22/02/2015,0.0
782,23/02/2015,0.0
783,24/02/2015,23.0
784,25/02/2015,4712.0
785,26/02/2015,4395.0
786,27/02/2015,3661.0
787,28/02/2015,2073.0
788,01/03/2015,0.0
789,02/03/2015,4832.0
790,03/03/2015,4032.0
791,04/03/2015,2054.0
792,05/03/2015,1477.0
793,06/03/2015,1808.0
794,07/03/2015,290.0
795,08/03/2015,0.0
796,09/03/2015,2028.0
797,10/03/2015,2479.0
798,11/03/2015,1426.0
799,12/03/2015,1693.0
800,13/03/2015,1626.0
801,14/03/2015,236.0
802,15/03/2015,0.0
803,16/03/2015,2508.0
804,17/03/2015,2491.0
805,18/03/2015,1907.0
806,19/03/2015,1524.0
807,20/03/2015,1664.0
808,21/03/2015,948.0
809,22/03/2015,0.0
810,23/03/2015,2617.0
811,24/03/2015,2325.0
812,25/03/2015,2451.0
813,26/03/2015,1140.0
814,27/03/2015,1696.0
815,28/03/2015,376.0
816,29/03/2015,0.0
817,30/03/2015,2280.0
818,31/03/2015,2007.0
819,01/04/2015,1784.0
820,02/04/2015,1102.0
821,03/04/2015,1902.0
822,04/04/2015,55.0
823,05/04/2015,0.0
824,06/04/2015,13.0
825,07/04/2015,3380.0
826,08/04/2015,2690.0
827,09/04/2015,1348.0
828,10/04/2015,2035.0
829,11/04/2015,139.0
830,12/04/2015,20.0
831,13/04/2015,2044.0
832,14/04/2015,2024.0
833,15/04/2015,1455.0
834,16/04/2015,1354.0
835,17/04/2015,1310.0
836,18/04/2015,275.0
837,19/04/2015,0.0
838,20/04/2015,2424.0
839,21/04/2015,2985.0
840,22/04/2015,2014.0
841,23/04/2015,1105.0
842,24/04/2015,1524.0
843,25/04/2015,378.0
844,26/04/2015,0.0
845,27/04/2015,2491.0
846,28/04/2015,2830.0
847,29/04/2015,2155.0
848,30/04/2015,2017.0
849,01/05/2015,27.0
850,02/05/2015,0.0
851,03/05/2015,0.0
852,04/05/2015,3150.0
853,05/05/2015,2383.0
854,06/05/2015,2824.0
855,07/05/2015,1876.0
856,08/05/2015,2054.0
857,09/05/2015,321.0
858,10/05/2015,0.0
859,11/05/2015,2384.0
860,12/05/2015,2472.0
861,13/05/2015,1881.0
862,14/05/2015,1816.0
863,15/05/2015,1361.0
864,16/05/2015,314.0
865,17/05/2015,0.0
866,18/05/2015,3309.0
867,19/05/2015,1948.0
868,20/05/2015,1722.0
869,21/05/2015,1520.0
870,22/05/2015,2232.0
871,23/05/2015,497.0
872,24/05/2015,0.0
873,25/05/2015,2037.0
874,26/05/2015,2246.0
875,27/05/2015,1447.0
876,28/05/2015,1478.0
877,29/05/2015,1631.0
878,30/05/2015,128.0
879,31/05/2015,0.0
880,01/06/2015,2102.0
881,02/06/2015,2114.0
882,03/06/2015,1964.0
883,04/06/2015,1427.0
884,05/06/2015,1416.0
885,06/06/2015,319.0
886,07/06/2015,0.0
887,08/06/2015,2147.0
888,09/06/2015,1925.0
889,10/06/2015,1668.0
890,11/06/2015,1692.0
891,12/06/2015,1517.0
892,13/06/2015,381.0
893,14/06/2015,0.0
894,15/06/2015,2327.0
895,16/06/2015,1926.0
896,17/06/2015,1387.0
897,18/06/2015,1533.0
898,19/06/2015,1946.0
899,20/06/2015,89.0
900,21/06/2015,0.0
901,22/06/2015,0.0
902,23/06/2015,3157.0
903,24/06/2015,1933.0
904,25/06/2015,1257.0
905,26/06/2015,2051.0
906,27/06/2015,472.0
907,28/06/2015,0.0
908,29/06/2015,2031.0
909,30/06/2015,1465.0
910,01/07/2015,2291.0
911,02/07/2015,1380.0
912,03/07/2015,1659.0
913,04/07/2015,401.0
914,05/07/2015,0.0
915,06/07/2015,2248.0
916,07/07/2015,3005.0
917,08/07/2015,2281.0
918,09/07/2015,1062.0
919,10/07/2015,1675.0
920,11/07/2015,304.0
921,12/07/2015,0.0
922,13/07/2015,2034.0
923,14/07/2015,2520.0
924,15/07/2015,1944.0
925,16/07/2015,1398.0
926,17/07/2015,1384.0
927,18/07/2015,288.0
928,19/07/2015,0.0
929,20/07/2015,1804.0
930,21/07/2015,2255.0
931,22/07/2015,1893.0
932,23/07/2015,1193.0
933,24/07/2015,1907.0
934,25/07/2015,185.0
935,26/07/2015,0.0
936,27/07/2015,1304.0
937,28/07/2015,2076.0
938,29/07/2015,1754.0
939,30/07/2015,1155.0
940,31/07/2015,1613.0
941,01/08/2015,410.0
942,02/08/2015,0.0
943,03/08/2015,2437.0
944,04/08/2015,2596.0
945,05/08/2015,1823.0
946,06/08/2015,1951.0
947,07/08/2015,1983.0
948,08/08/2015,297.0
949,09/08/2015,0.0
950,10/08/2015,2186.0
951,11/08/2015,1608.0
952,12/08/2015,2334.0
953,13/08/2015,2051.0
954,14/08/2015,1795.0
955,15/08/2015,346.0
956,16/08/2015,0.0
957,17/08/2015,1926.0
958,18/08/2015,1902.0
959,19/08/2015,1604.0
960,20/08/2015,1357.0
961,21/08/2015,1893.0
962,22/08/2015,227.0
963,23/08/2015,24.0
964,24/08/2015,2270.0
965,25/08/2015,2200.0
966,26/08/2015,1738.0
967,27/08/2015,1327.0
968,28/08/2015,1254.0
969,29/08/2015,498.0
970,30/08/2015,20.0
971,31/08/2015,2616.0
972,01/09/2015,2477.0
973,02/09/2015,2305.0
974,03/09/2015,12.0
975,04/09/2015,0.0
976,05/09/2015,0.0
977,06/09/2015,3354.0
978,07/09/2015,1800.0
979,08/09/2015,2684.0
980,09/09/2015,1475.0
981,10/09/2015,1783.0
982,11/09/2015,1625.0
983,12/09/2015,309.0
984,13/09/2015,0.0
985,14/09/2015,1990.0
986,15/09/2015,2256.0
987,16/09/2015,2032.0
988,17/09/2015,1183.0
989,18/09/2015,1565.0
990,19/09/2015,254.0
991,20/09/2015,0.0
992,21/09/2015,1983.0
993,22/09/2015,2445.0
994,23/09/2015,2312.0
995,24/09/2015,1510.0
996,25/09/2015,2380.0
997,26/09/2015,61.0
998,27/09/2015,0.0
999,28/09/2015,3279.0
1000,29/09/2015,3804.0
1001,30/09/2015,3046.0
1002,01/10/2015,0.0
1003,02/10/2015,13.0
1004,03/10/2015,0.0
1005,04/10/2015,15.0
1006,05/10/2015,0.0
1007,06/10/2015,0.0
1008,07/10/2015,88.0
1009,08/10/2015,4354.0
1010,09/10/2015,3418.0
1011,10/10/2015,2489.0
1012,11/10/2015,0.0
1013,12/10/2015,2584.0
1014,13/10/2015,3546.0
1015,14/10/2015,2458.0
1016,15/10/2015,2065.0
1017,16/10/2015,1816.0
1018,17/10/2015,263.0
1019,18/10/2015,28.0
1020,19/10/2015,2407.0
