,week_no,day_of_week,brand,date,cnt_x,brand_fill,ds,lunar_day,is_holiday,after_holiday_type,after_holiday,before_holiday_type,before_holiday,last_workday_before_holiday,is_week_end,is_work,index,cnt_y,spring_sunday,is_norm_sunday,is_saturday,is_redundent_sunday,is_after_new_year,month,day,year
36,6,4,7,38,118,7,07/02/2013,1327,0,,,7,0.45,,1,1,36,2567,0,0,0,0,0,2,7,2013
37,6,5,7,39,77,7,08/02/2013,1328,0,,,7,0.5,1,1,1,37,761,0,0,0,0,0,2,8,2013
38,6,6,,,,0,09/02/2013,1329,1,7,,7,,,0,0,38,,0,0,0,0,0,2,9,2013
39,6,7,,,,0,10/02/2013,101,1,7,,7,,,0,0,39,,0,1,0,0,0,2,10,2013
40,7,1,,,,0,11/02/2013,102,1,7,,7,,,1,0,40,,0,0,0,0,0,2,11,2013
41,7,2,,,,0,12/02/2013,103,1,7,,7,,,1,0,41,,0,0,0,0,0,2,12,2013
42,7,3,,,,0,13/02/2013,104,1,7,,7,,,1,0,42,,0,0,0,0,0,2,13,2013
43,7,4,7,40,,7,14/02/2013,105,1,7,,7,,,1,0,43,19,0,0,0,0,0,2,14,2013
44,7,5,7,41,26,7,15/02/2013,106,1,7,,7,,,1,0,44,13,0,0,0,0,0,2,15,2013
45,7,6,7,42,32,7,16/02/2013,107,0,7,0.5,,,,1,1,45,2847,0,0,1,0,0,2,16,2013
46,7,7,7,43,,7,17/02/2013,108,0,7,0.45,,,,0,1,46,2936,1,0,0,0,0,2,17,2013
47,8,1,7,44,26,7,18/02/2013,109,0,7,0.4,,,,1,1,47,2377,0,0,0,0,0,2,18,2013
48,8,2,7,45,193,7,19/02/2013,110,0,7,0.35,,,,1,1,48,1740,0,0,0,0,0,2,19,2013
49,8,3,7,46,150,7,20/02/2013,111,0,7,0.3,,,,1,1,49,2563,0,0,0,0,0,2,20,2013
50,8,4,7,47,118,7,21/02/2013,112,0,7,0.25,,,,1,1,50,1896,0,0,0,0,0,2,21,2013
51,8,5,7,48,77,7,22/02/2013,113,0,7,0.2,,,,1,1,51,1552,0,0,0,0,0,2,22,2013
52,8,6,7,49,32,7,23/02/2013,114,0,7,0.15,,,,0,1,52,186,0,0,0,0,0,2,23,2013
53,8,7,7,50,,7,24/02/2013,115,0,7,0.1,,,,0,0,53,,0,1,0,0,0,2,24,2013
54,9,1,7,51,129,7,25/02/2013,116,0,7,0.05,,,,1,1,54,1874,0,0,0,0,0,2,25,2013
55,9,2,7,52,97,7,26/02/2013,117,0,,,,,,1,1,55,1844,0,0,0,0,0,2,26,2013
56,9,3,7,53,120,7,27/02/2013,118,0,,,,,,1,1,56,1919,0,0,0,0,0,2,27,2013
57,9,4,7,54,165,7,28/02/2013,119,0,,,,,,1,1,57,1191,0,0,0,0,0,2,28,2013
58,9,5,7,55,51,7,01/03/2013,120,0,,,,,,1,1,58,1816,0,0,0,0,0,3,1,2013
59,9,6,7,56,,7,02/03/2013,121,0,,,,,,0,1,59,87,0,0,0,0,0,3,2,2013
60,9,7,,,,0,03/03/2013,122,0,,,,,,0,0,60,,0,1,0,0,0,3,3,2013
61,10,1,7,57,103,7,04/03/2013,123,0,,,,,,1,1,61,1843,0,0,0,0,0,3,4,2013
62,10,2,7,58,161,7,05/03/2013,124,0,,,,,,1,1,62,1900,0,0,0,0,0,3,5,2013
63,10,3,7,59,120,7,06/03/2013,125,0,,,,,,1,1,63,1615,0,0,0,0,0,3,6,2013
64,10,4,7,60,142,7,07/03/2013,126,0,,,,,,1,1,64,1461,0,0,0,0,0,3,7,2013
65,10,5,7,61,180,7,08/03/2013,127,0,,,,,,1,1,65,1514,0,0,0,0,0,3,8,2013
66,10,6,7,62,,7,09/03/2013,128,0,,,,,,0,1,66,180,0,0,0,0,0,3,9,2013
67,10,7,7,63,28,7,10/03/2013,129,0,,,,,,0,0,67,41,0,1,0,0,0,3,10,2013
68,11,1,7,64,154,7,11/03/2013,130,0,,,,,,1,1,68,1933,0,0,0,0,0,3,11,2013
69,11,2,7,65,225,7,12/03/2013,201,0,,,,,,1,1,69,1812,0,0,0,0,0,3,12,2013
70,11,3,7,66,150,7,13/03/2013,202,0,,,,,,1,1,70,1763,0,0,0,0,0,3,13,2013
71,11,4,7,67,71,7,14/03/2013,203,0,,,,,,1,1,71,1386,0,0,0,0,0,3,14,2013
72,11,5,7,68,206,7,15/03/2013,204,0,,,,,,1,1,72,1345,0,0,0,0,0,3,15,2013
73,11,6,7,69,,7,16/03/2013,205,0,,,,,,0,1,73,113,0,0,0,0,0,3,16,2013
74,11,7,7,70,,7,17/03/2013,206,0,,,,,,0,0,74,,0,1,0,0,0,3,17,2013
75,12,1,7,71,180,7,18/03/2013,207,0,,,,,,1,1,75,1797,0,0,0,0,0,3,18,2013
76,12,2,7,72,161,7,19/03/2013,208,0,,,,,,1,1,76,1889,0,0,0,0,0,3,19,2013
77,12,3,7,73,240,7,20/03/2013,209,0,,,,,,1,1,77,1445,0,0,0,0,0,3,20,2013
78,12,4,7,74,142,7,21/03/2013,210,0,,,,,,1,1,78,1452,0,0,0,0,0,3,21,2013
79,12,5,7,75,154,7,22/03/2013,211,0,,,,,,1,1,79,1559,0,0,0,0,0,3,22,2013
80,12,6,7,76,64,7,23/03/2013,212,0,,,,,,0,1,80,198,0,0,0,0,0,3,23,2013
81,12,7,7,77,,7,24/03/2013,213,0,,,,,,0,0,81,,0,1,0,0,0,3,24,2013
82,13,1,7,78,257,7,25/03/2013,214,0,,,,,,1,1,82,1739,0,0,0,0,0,3,25,2013
83,13,2,7,79,161,7,26/03/2013,215,0,,,,,,1,1,83,1794,0,0,0,0,0,3,26,2013
84,13,3,7,80,240,7,27/03/2013,216,0,,,,,,1,1,84,1464,0,0,0,0,0,3,27,2013
85,13,4,7,81,142,7,28/03/2013,217,0,,,1,0.05,,1,1,85,1279,0,0,0,0,0,3,28,2013
86,13,5,7,82,283,7,29/03/2013,218,0,,,1,0.1,,1,1,86,1601,0,0,0,0,0,3,29,2013
87,13,6,7,83,,7,30/03/2013,219,0,,,1,0.15,,0,1,87,171,0,0,0,0,0,3,30,2013
88,13,7,7,84,,7,31/03/2013,220,0,,,1,0.2,,0,0,88,22,0,1,0,0,0,3,31,2013
89,14,1,7,85,26,7,01/04/2013,221,0,,,1,0.25,,1,1,89,744,0,0,0,0,0,4,1,2013
90,14,2,7,86,129,7,02/04/2013,222,0,,,1,0.3,,1,1,90,2424,0,0,0,0,0,4,2,2013
91,14,3,7,87,330,7,03/04/2013,223,0,,,1,0.35,1,1,1,91,1959,0,0,0,0,0,4,3,2013
92,14,4,7,88,47,7,04/04/2013,224,1,1,,1,,,1,0,92,60,0,0,0,0,0,4,4,2013
93,14,5,7,89,26,7,05/04/2013,225,1,1,,1,,,1,0,93,51,0,0,0,0,0,4,5,2013
94,14,6,7,90,,7,06/04/2013,226,1,1,,1,,,0,0,94,30,0,0,0,0,0,4,6,2013
95,14,7,7,91,167,7,07/04/2013,227,0,1,0.35,,,,0,1,95,1929,1,0,0,0,0,4,7,2013
96,15,1,7,92,180,7,08/04/2013,228,0,1,0.3,,,,1,1,96,1745,0,0,0,0,0,4,8,2013
97,15,2,7,93,290,7,09/04/2013,229,0,1,0.25,,,,1,1,97,2143,0,0,0,0,0,4,9,2013
98,15,3,7,94,150,7,10/04/2013,301,0,1,0.2,,,,1,1,98,1709,0,0,0,0,0,4,10,2013
99,15,4,7,95,71,7,11/04/2013,302,0,1,0.15,,,,1,1,99,1294,0,0,0,0,0,4,11,2013
100,15,5,7,96,154,7,12/04/2013,303,0,1,0.1,,,,1,1,100,1527,0,0,0,0,0,4,12,2013
101,15,6,7,97,,7,13/04/2013,304,0,1,0.05,,,,0,1,101,198,0,0,0,0,0,4,13,2013
102,15,7,,,,0,14/04/2013,305,0,,,,,,0,0,102,,0,1,0,0,0,4,14,2013
103,16,1,7,98,129,7,15/04/2013,306,0,,,,,,1,1,103,2164,0,0,0,0,0,4,15,2013
104,16,2,7,99,129,7,16/04/2013,307,0,,,,,,1,1,104,1631,0,0,0,0,0,4,16,2013
105,16,3,7,100,240,7,17/04/2013,308,0,,,,,,1,1,105,1859,0,0,0,0,0,4,17,2013
106,16,4,7,101,189,7,18/04/2013,309,0,,,,,,1,1,106,1447,0,0,0,0,0,4,18,2013
107,16,5,7,102,77,7,19/04/2013,310,0,,,,,,1,1,107,1514,0,0,0,0,0,4,19,2013
108,16,6,7,103,32,7,20/04/2013,311,0,,,,,,0,1,108,137,0,0,0,0,0,4,20,2013
109,16,7,7,104,84,7,21/04/2013,312,0,,,,,,0,0,109,36,0,1,0,0,0,4,21,2013
110,17,1,7,105,335,7,22/04/2013,313,0,,,,,,1,1,110,2104,0,0,0,0,0,4,22,2013
111,17,2,7,106,354,7,23/04/2013,314,0,,,3,0.05,,1,1,111,1584,0,0,0,0,0,4,23,2013
112,17,3,7,107,180,7,24/04/2013,315,0,,,3,0.1,,1,1,112,1449,0,0,0,0,0,4,24,2013
113,17,4,7,108,165,7,25/04/2013,316,0,,,3,0.15,,1,1,113,1102,0,0,0,0,0,4,25,2013
114,17,5,7,109,154,7,26/04/2013,317,0,,,3,0.2,,1,1,114,1774,0,0,0,0,0,4,26,2013
115,17,6,7,110,225,7,27/04/2013,318,0,,,3,0.25,,0,1,115,1462,0,0,1,0,0,4,27,2013
116,17,7,7,111,167,7,28/04/2013,319,0,,,3,0.3,,0,1,116,1626,1,0,0,0,0,4,28,2013
117,18,1,7,112,26,7,29/04/2013,320,1,3,,3,0.35,1,1,0,117,73,0,0,0,0,0,4,29,2013
118,18,2,7,113,,7,30/04/2013,321,1,3,,3,,,1,0,118,,0,0,0,0,0,4,30,2013
119,18,3,7,114,,7,01/05/2013,322,1,3,,3,,,1,0,119,,0,0,0,0,0,5,1,2013
120,18,4,7,115,71,7,02/05/2013,323,0,3,0.35,,,,1,1,120,2484,0,0,0,0,0,5,2,2013
121,18,5,7,116,206,7,03/05/2013,324,0,3,0.3,,,,1,1,121,1723,0,0,0,0,0,5,3,2013
122,18,6,7,117,32,7,04/05/2013,325,0,3,0.25,,,,0,1,122,104,0,0,0,0,0,5,4,2013
123,18,7,7,118,,7,05/05/2013,326,0,3,0.2,,,,0,0,123,,0,1,0,0,0,5,5,2013
124,19,1,7,119,103,7,06/05/2013,327,0,3,0.15,,,,1,1,124,2427,0,0,0,0,0,5,6,2013
125,19,2,7,120,161,7,07/05/2013,328,0,3,0.1,,,,1,1,125,2587,0,0,0,0,0,5,7,2013
126,19,3,7,121,270,7,08/05/2013,329,0,3,0.05,,,,1,1,126,2220,0,0,0,0,0,5,8,2013
127,19,4,7,122,283,7,09/05/2013,330,0,,,,,,1,1,127,1142,0,0,0,0,0,5,9,2013
128,19,5,7,123,129,7,10/05/2013,401,0,,,,,,1,1,128,1934,0,0,0,0,0,5,10,2013
129,19,6,7,124,,7,11/05/2013,402,0,,,,,,0,1,129,121,0,0,0,0,0,5,11,2013
130,19,7,7,125,,7,12/05/2013,403,0,,,,,,0,0,130,23,0,1,0,0,0,5,12,2013
131,20,1,7,126,129,7,13/05/2013,404,0,,,,,,1,1,131,2509,0,0,0,0,0,5,13,2013
132,20,2,7,127,354,7,14/05/2013,405,0,,,,,,1,1,132,2284,0,0,0,0,0,5,14,2013
133,20,3,7,128,210,7,15/05/2013,406,0,,,,,,1,1,133,2068,0,0,0,0,0,5,15,2013
134,20,4,7,129,236,7,16/05/2013,407,0,,,,,,1,1,134,1088,0,0,0,0,0,5,16,2013
135,20,5,7,130,335,7,17/05/2013,408,0,,,,,,1,1,135,2030,0,0,0,0,0,5,17,2013
136,20,6,7,131,32,7,18/05/2013,409,0,,,,,,0,1,136,38,0,0,0,0,0,5,18,2013
137,20,7,,,,0,19/05/2013,410,0,,,,,,0,0,137,,0,1,0,0,0,5,19,2013
138,21,1,7,132,257,7,20/05/2013,411,0,,,,,,1,1,138,1940,0,0,0,0,0,5,20,2013
139,21,2,7,133,418,7,21/05/2013,412,0,,,,0.7,,1,1,139,2342,0,0,0,0,0,5,21,2013
140,21,3,7,134,871,7,22/05/2013,413,0,,,,0.85,,1,1,140,5581,0,0,0,0,0,5,22,2013
141,21,4,7,135,495,7,23/05/2013,414,0,,,,,,1,1,141,2333,0,0,0,0,0,5,23,2013
142,21,5,7,136,412,7,24/05/2013,415,0,,,,,,1,1,142,1931,0,0,0,0,0,5,24,2013
143,21,6,7,137,,7,25/05/2013,416,0,,,,,,0,1,143,140,0,0,0,0,0,5,25,2013
144,21,7,7,138,,7,26/05/2013,417,0,,,,,,0,0,144,,0,1,0,0,0,5,26,2013
145,22,1,7,139,232,7,27/05/2013,418,0,,,,,,1,1,145,1794,0,0,0,0,0,5,27,2013
146,22,2,7,140,129,7,28/05/2013,419,0,,,,,,1,1,146,2055,0,0,0,0,0,5,28,2013
147,22,3,7,141,270,7,29/05/2013,420,0,,,,,,1,1,147,1658,0,0,0,0,0,5,29,2013
148,22,4,7,142,94,7,30/05/2013,421,0,,,,,,1,1,148,1497,0,0,0,0,0,5,30,2013
149,22,5,7,143,154,7,31/05/2013,422,0,,,,,,1,1,149,1161,0,0,0,0,0,5,31,2013
150,22,6,7,144,32,7,01/06/2013,423,0,,,,,,0,1,150,113,0,0,0,0,0,6,1,2013
151,22,7,,,,0,02/06/2013,424,0,,,,,,0,0,151,14,0,1,0,0,0,6,2,2013
152,23,1,7,145,232,7,03/06/2013,425,0,,,,,,1,1,152,2374,0,0,0,0,0,6,3,2013
153,23,2,7,146,257,7,04/06/2013,426,0,,,,,,1,1,153,1885,0,0,0,0,0,6,4,2013
154,23,3,7,147,120,7,05/06/2013,427,0,,,,,,1,1,154,1606,0,0,0,0,0,6,5,2013
155,23,4,7,148,260,7,06/06/2013,428,0,,,,,,1,1,155,1690,0,0,0,0,0,6,6,2013
156,23,5,7,149,386,7,07/06/2013,429,0,,,2,,,1,1,156,1354,0,0,0,0,0,6,7,2013
157,23,6,7,150,129,7,08/06/2013,430,0,,,2,,,0,1,157,1266,0,0,1,0,0,6,8,2013
158,23,7,7,151,84,7,09/06/2013,501,0,,,2,,,0,1,158,1309,1,0,0,0,0,6,9,2013
159,24,1,7,152,,7,10/06/2013,502,1,2,,2,,,1,0,159,89,0,0,0,0,0,6,10,2013
160,24,2,7,153,,7,11/06/2013,503,1,2,,2,,,1,0,160,,0,0,0,0,0,6,11,2013
161,24,3,,,,0,12/06/2013,504,1,2,,2,,,1,0,161,,0,0,0,0,0,6,12,2013
162,24,4,7,154,283,7,13/06/2013,505,0,2,0.4,2,,,1,1,162,2265,0,0,0,0,0,6,13,2013
163,24,5,7,155,257,7,14/06/2013,506,0,,,,,,1,1,163,1721,0,0,0,0,0,6,14,2013
164,24,6,7,156,,7,15/06/2013,507,0,,,,,,0,1,164,150,0,0,0,0,0,6,15,2013
165,24,7,7,157,,7,16/06/2013,508,0,,,,,,0,0,165,26,0,1,0,0,0,6,16,2013
166,25,1,7,158,309,7,17/06/2013,509,0,,,,,,1,1,166,1612,0,0,0,0,0,6,17,2013
167,25,2,7,159,97,7,18/06/2013,510,0,,,,,,1,1,167,2178,0,0,0,0,0,6,18,2013
168,25,3,7,160,330,7,19/06/2013,511,0,,,,,,1,1,168,1539,0,0,0,0,0,6,19,2013
169,25,4,7,161,189,7,20/06/2013,512,0,,,,,,1,1,169,1067,0,0,0,0,0,6,20,2013
170,25,5,7,162,257,7,21/06/2013,513,0,,,,,,1,1,170,1325,0,0,0,0,0,6,21,2013
171,25,6,7,163,32,7,22/06/2013,514,0,,,,,,0,1,171,85,0,0,0,0,0,6,22,2013
172,25,7,7,164,,7,23/06/2013,515,0,,,,,,0,0,172,36,0,1,0,0,0,6,23,2013
173,26,1,7,165,257,7,24/06/2013,516,0,,,,,,1,1,173,1778,0,0,0,0,0,6,24,2013
174,26,2,7,166,161,7,25/06/2013,517,0,,,,,,1,1,174,2336,0,0,0,0,0,6,25,2013
175,26,3,7,167,180,7,26/06/2013,518,0,,,,,,1,1,175,1487,0,0,0,0,0,6,26,2013
176,26,4,7,168,165,7,27/06/2013,519,0,,,,,,1,1,176,1025,0,0,0,0,0,6,27,2013
177,26,5,7,169,180,7,28/06/2013,520,0,,,,,,1,1,177,1659,0,0,0,0,0,6,28,2013
178,26,6,7,170,129,7,29/06/2013,521,0,,,,,,0,1,178,183,0,0,0,0,0,6,29,2013
179,26,7,7,171,,7,30/06/2013,522,0,,,,,,0,0,179,,0,1,0,0,0,6,30,2013
180,27,1,7,172,129,7,01/07/2013,523,0,,,,,,1,1,180,1819,0,0,0,0,0,7,1,2013
181,27,2,7,173,354,7,02/07/2013,524,0,,,,,,1,1,181,1781,0,0,0,0,0,7,2,2013
182,27,3,7,174,390,7,03/07/2013,525,0,,,,,,1,1,182,1924,0,0,0,0,0,7,3,2013
183,27,4,7,175,142,7,04/07/2013,526,0,,,,,,1,1,183,1256,0,0,0,0,0,7,4,2013
184,27,5,7,176,309,7,05/07/2013,527,0,,,,,,1,1,184,1526,0,0,0,0,0,7,5,2013
185,27,6,7,177,,7,06/07/2013,528,0,,,,,,0,1,185,108,0,0,0,0,0,7,6,2013
186,27,7,7,178,28,7,07/07/2013,529,0,,,,,,0,0,186,14,0,1,0,0,0,7,7,2013
187,28,1,7,179,438,7,08/07/2013,601,0,,,,,,1,1,187,1804,0,0,0,0,0,7,8,2013
188,28,2,7,180,386,7,09/07/2013,602,0,,,,,,1,1,188,1615,0,0,0,0,0,7,9,2013
189,28,3,7,181,180,7,10/07/2013,603,0,,,,,,1,1,189,1558,0,0,0,0,0,7,10,2013
190,28,4,7,182,94,7,11/07/2013,604,0,,,,,,1,1,190,810,0,0,0,0,0,7,11,2013
191,28,5,7,183,51,7,12/07/2013,605,0,,,,,,1,1,191,1603,0,0,0,0,0,7,12,2013
192,28,6,7,184,64,7,13/07/2013,606,0,,,,,,0,1,192,94,0,0,0,0,0,7,13,2013
193,28,7,,,,0,14/07/2013,607,0,,,,,,0,0,193,23,0,1,0,0,0,7,14,2013
194,29,1,7,185,309,7,15/07/2013,608,0,,,,,,1,1,194,2141,0,0,0,0,0,7,15,2013
195,29,2,7,186,225,7,16/07/2013,609,0,,,,,,1,1,195,1759,0,0,0,0,0,7,16,2013
196,29,3,7,187,150,7,17/07/2013,610,0,,,,,,1,1,196,1506,0,0,0,0,0,7,17,2013
197,29,4,7,188,307,7,18/07/2013,611,0,,,,,,1,1,197,1271,0,0,0,0,0,7,18,2013
198,29,5,7,189,129,7,19/07/2013,612,0,,,,,,1,1,198,1633,0,0,0,0,0,7,19,2013
199,29,6,7,190,64,7,20/07/2013,613,0,,,,,,0,1,199,154,0,0,0,0,0,7,20,2013
200,29,7,,,,0,21/07/2013,614,0,,,,,,0,0,200,14,0,1,0,0,0,7,21,2013
201,30,1,7,191,283,7,22/07/2013,615,0,,,,,,1,1,201,2028,0,0,0,0,0,7,22,2013
202,30,2,7,192,290,7,23/07/2013,616,0,,,,,,1,1,202,2033,0,0,0,0,0,7,23,2013
203,30,3,7,193,90,7,24/07/2013,617,0,,,,,,1,1,203,1346,0,0,0,0,0,7,24,2013
204,30,4,7,194,165,7,25/07/2013,618,0,,,,,,1,1,204,1031,0,0,0,0,0,7,25,2013
205,30,5,7,195,129,7,26/07/2013,619,0,,,,,,1,1,205,1290,0,0,0,0,0,7,26,2013
206,30,6,7,196,32,7,27/07/2013,620,0,,,,,,0,1,206,42,0,0,0,0,0,7,27,2013
207,30,7,7,197,28,7,28/07/2013,621,0,,,,,,0,0,207,,0,1,0,0,0,7,28,2013
208,31,1,7,198,154,7,29/07/2013,622,0,,,,,,1,1,208,1961,0,0,0,0,0,7,29,2013
209,31,2,7,199,257,7,30/07/2013,623,0,,,,,,1,1,209,1751,0,0,0,0,0,7,30,2013
210,31,3,7,200,150,7,31/07/2013,624,0,,,,,,1,1,210,1505,0,0,0,0,0,7,31,2013
211,31,4,7,201,260,7,01/08/2013,625,0,,,,,,1,1,211,1477,0,0,0,0,0,8,1,2013
212,31,5,7,202,283,7,02/08/2013,626,0,,,,,,1,1,212,1892,0,0,0,0,0,8,2,2013
213,31,6,7,203,32,7,03/08/2013,627,0,,,,,,0,1,213,81,0,0,0,0,0,8,3,2013
214,31,7,,,,0,04/08/2013,628,0,,,,,,0,0,214,,0,1,0,0,0,8,4,2013
215,32,1,7,204,206,7,05/08/2013,629,0,,,,,,1,1,215,2100,0,0,0,0,0,8,5,2013
216,32,2,7,205,97,7,06/08/2013,630,0,,,,,,1,1,216,1905,0,0,0,0,0,8,6,2013
217,32,3,7,206,120,7,07/08/2013,701,0,,,,,,1,1,217,1682,0,0,0,0,0,8,7,2013
218,32,4,7,207,212,7,08/08/2013,702,0,,,,,,1,1,218,1370,0,0,0,0,0,8,8,2013
219,32,5,7,208,51,7,09/08/2013,703,0,,,,,,1,1,219,985,0,0,0,0,0,8,9,2013
220,32,6,7,209,,7,10/08/2013,704,0,,,,,,0,1,220,27,0,0,0,0,0,8,10,2013
221,32,7,,,,0,11/08/2013,705,0,,,,,,0,0,221,,0,1,0,0,0,8,11,2013
222,33,1,7,210,206,7,12/08/2013,706,0,,,,,,1,1,222,1804,0,0,0,0,0,8,12,2013
223,33,2,7,211,161,7,13/08/2013,707,0,,,,,,1,1,223,1760,0,0,0,0,0,8,13,2013
224,33,3,7,212,180,7,14/08/2013,708,0,,,,,,1,1,224,1951,0,0,0,0,0,8,14,2013
225,33,4,7,213,94,7,15/08/2013,709,0,,,,,,1,1,225,1058,0,0,0,0,0,8,15,2013
226,33,5,7,214,360,7,16/08/2013,710,0,,,,,,1,1,226,1150,0,0,0,0,0,8,16,2013
227,33,6,7,215,64,7,17/08/2013,711,0,,,,,,0,1,227,363,0,0,0,0,0,8,17,2013
228,33,7,7,216,,7,18/08/2013,712,0,,,,,,0,0,228,,0,1,0,0,0,8,18,2013
229,34,1,7,217,232,7,19/08/2013,713,0,,,,,,1,1,229,2765,0,0,0,0,0,8,19,2013
230,34,2,7,218,515,7,20/08/2013,714,0,,,,,,1,1,230,2281,0,0,0,0,0,8,20,2013
231,34,3,7,219,210,7,21/08/2013,715,0,,,,,,1,1,231,1064,0,0,0,0,0,8,21,2013
232,34,4,7,220,283,7,22/08/2013,716,0,,,,,,1,1,232,1438,0,0,0,0,0,8,22,2013
233,34,5,7,221,206,7,23/08/2013,717,0,,,,,,1,1,233,1698,0,0,0,0,0,8,23,2013
234,34,6,7,222,64,7,24/08/2013,718,0,,,,,,0,1,234,122,0,0,0,0,0,8,24,2013
235,34,7,,,,0,25/08/2013,719,0,,,,,,0,0,235,14,0,1,0,0,0,8,25,2013
236,35,1,7,223,206,7,26/08/2013,720,0,,,,,,1,1,236,2106,0,0,0,0,0,8,26,2013
237,35,2,7,224,257,7,27/08/2013,721,0,,,,,,1,1,237,1811,0,0,0,0,0,8,27,2013
238,35,3,7,225,270,7,28/08/2013,722,0,,,,,,1,1,238,1751,0,0,0,0,0,8,28,2013
239,35,4,7,226,118,7,29/08/2013,723,0,,,,,,1,1,239,1433,0,0,0,0,0,8,29,2013
240,35,5,7,227,129,7,30/08/2013,724,0,,,,,,1,1,240,1034,0,0,0,0,0,8,30,2013
